FAAS SIMULATION SUMMARY
======================

Report generated: 2025-08-18 11:39:41

Topology Overview:
  Number of nodes: 120
  Number of functions: 6
  Number of images: 8

Node Distribution:
  nx_10: 3637 invocations (5.4%)
  rockpi_8: 2591 invocations (3.8%)
  rockpi_30: 884 invocations (1.3%)
  nx_3: 2890 invocations (4.3%)
  coral_3: 1570 invocations (2.3%)
  nano_15: 1162 invocations (1.7%)
  rockpi_13: 2012 invocations (3.0%)
  coral_1: 352 invocations (0.5%)
  nx_13: 1567 invocations (2.3%)
  nano_19: 962 invocations (1.4%)
  rockpi_12: 1747 invocations (2.6%)
  rpi3_3: 198 invocations (0.3%)
  nano_9: 877 invocations (1.3%)
  rockpi_5: 1704 invocations (2.5%)
  rpi3_5: 160 invocations (0.2%)
  nano_21: 804 invocations (1.2%)
  rpi3_4: 194 invocations (0.3%)
  rockpi_21: 1539 invocations (2.3%)
  nano_20: 737 invocations (1.1%)
  rockpi_19: 1505 invocations (2.2%)
  nano_22: 676 invocations (1.0%)
  rpi3_21: 211 invocations (0.3%)
  rockpi_16: 1367 invocations (2.0%)
  nano_11: 601 invocations (0.9%)
  rockpi_14: 1336 invocations (2.0%)
  nano_0: 551 invocations (0.8%)
  rpi3_22: 211 invocations (0.3%)
  nx_4: 1059 invocations (1.6%)
  nano_2: 510 invocations (0.8%)
  rockpi_10: 1398 invocations (2.1%)
  nx_5: 985 invocations (1.5%)
  rpi3_23: 206 invocations (0.3%)
  rockpi_0: 1092 invocations (1.6%)
  nx_7: 307 invocations (0.5%)
  nano_6: 423 invocations (0.6%)
  rockpi_28: 1305 invocations (1.9%)
  nano_8: 383 invocations (0.6%)
  rpi3_27: 200 invocations (0.3%)
  nx_11: 851 invocations (1.3%)
  nano_27: 346 invocations (0.5%)
  rockpi_4: 1193 invocations (1.8%)
  nano_14: 323 invocations (0.5%)
  rpi3_28: 197 invocations (0.3%)
  rpi3_2: 733 invocations (1.1%)
  nano_24: 280 invocations (0.4%)
  rockpi_23: 876 invocations (1.3%)
  nx_9: 380 invocations (0.6%)
  rpi3_29: 196 invocations (0.3%)
  rockpi_11: 1038 invocations (1.5%)
  nx_0: 683 invocations (1.0%)
  rockpi_25: 769 invocations (1.1%)
  rpi3_1: 163 invocations (0.2%)
  nano_25: 191 invocations (0.3%)
  rpi3_0: 193 invocations (0.3%)
  rockpi_1: 739 invocations (1.1%)
  nano_4: 176 invocations (0.3%)
  rockpi_2: 901 invocations (1.3%)
  coral_0: 422 invocations (0.6%)
  coral_2: 234 invocations (0.3%)
  rpi3_9: 185 invocations (0.3%)
  rockpi_3: 678 invocations (1.0%)
  rockpi_32: 841 invocations (1.2%)
  rpi3_15: 244 invocations (0.4%)
  rpi3_10: 189 invocations (0.3%)
  rpi3_16: 219 invocations (0.3%)
  rockpi_22: 600 invocations (0.9%)
  rpi3_17: 205 invocations (0.3%)
  nx_12: 360 invocations (0.5%)
  rpi3_11: 181 invocations (0.3%)
  rockpi_24: 754 invocations (1.1%)
  rpi3_33: 184 invocations (0.3%)
  nx_6: 487 invocations (0.7%)
  rpi3_34: 169 invocations (0.2%)
  rpi3_35: 160 invocations (0.2%)
  rockpi_33: 724 invocations (1.1%)
  rockpi_15: 514 invocations (0.8%)
  rpi3_18: 151 invocations (0.2%)
  rpi3_24: 595 invocations (0.9%)
  rpi3_19: 136 invocations (0.2%)
  nx_2: 575 invocations (0.8%)
  rpi3_25: 126 invocations (0.2%)
  rpi3_30: 118 invocations (0.2%)
  rpi3_31: 545 invocations (0.8%)
  rpi3_20: 303 invocations (0.4%)
  rockpi_17: 463 invocations (0.7%)
  rpi3_32: 109 invocations (0.2%)
  rpi3_6: 107 invocations (0.2%)
  rockpi_20: 613 invocations (0.9%)
