FAAS SIMULATION SUMMARY
======================

Report generated: 2025-08-19 04:29:47

Topology Overview:
  Number of nodes: 197
  Number of functions: 6
  Number of images: 8

Node Distribution:
  nx_14: 1840 invocations (2.7%)
  rockpi_13: 3256 invocations (4.8%)
  rockpi_59: 777 invocations (1.2%)
  nano_24: 1301 invocations (1.9%)
  rpi3_49: 1208 invocations (1.8%)
  nx_6: 1392 invocations (2.1%)
  rockpi_66: 1591 invocations (2.4%)
  coral_11: 328 invocations (0.5%)
  nx_9: 1770 invocations (2.6%)
  rockpi_9: 1476 invocations (2.2%)
  nano_13: 1002 invocations (1.5%)
  rpi3_48: 174 invocations (0.3%)
  rockpi_15: 1379 invocations (2.0%)
  nx_4: 1077 invocations (1.6%)
  rockpi_75: 1295 invocations (1.9%)
  nx_17: 1191 invocations (1.8%)
  rpi3_50: 175 invocations (0.3%)
  nx_22: 988 invocations (1.5%)
  nx_13: 1228 invocations (1.8%)
  rockpi_17: 1151 invocations (1.7%)
  nx_25: 1164 invocations (1.7%)
  rpi3_30: 170 invocations (0.3%)
  rockpi_12: 1087 invocations (1.6%)
  nano_32: 744 invocations (1.1%)
  rockpi_10: 1026 invocations (1.5%)
  nx_8: 986 invocations (1.5%)
  rockpi_0: 972 invocations (1.4%)
  rpi3_31: 165 invocations (0.2%)
  nano_27: 670 invocations (1.0%)
  rockpi_44: 920 invocations (1.4%)
  nano_0: 635 invocations (0.9%)
  rpi3_32: 160 invocations (0.2%)
  nx_2: 823 invocations (1.2%)
  rockpi_60: 830 invocations (1.2%)
  nano_29: 572 invocations (0.8%)
  rpi3_12: 159 invocations (0.2%)
  rockpi_64: 785 invocations (1.2%)
  nano_34: 547 invocations (0.8%)
  nx_29: 185 invocations (0.3%)
  rockpi_11: 746 invocations (1.1%)
  nano_42: 522 invocations (0.8%)
  rpi3_13: 156 invocations (0.2%)
  rockpi_68: 710 invocations (1.1%)
  nano_31: 496 invocations (0.7%)
  rockpi_51: 675 invocations (1.0%)
  nx_24: 577 invocations (0.9%)
  rpi3_14: 154 invocations (0.2%)
  nx_0: 512 invocations (0.8%)
  nano_9: 453 invocations (0.7%)
  coral_1: 475 invocations (0.7%)
  nano_15: 434 invocations (0.6%)
  rpi3_6: 155 invocations (0.2%)
  nx_12: 464 invocations (0.7%)
  coral_0: 142 invocations (0.2%)
  nano_10: 416 invocations (0.6%)
  rockpi_2: 738 invocations (1.1%)
  nano_33: 399 invocations (0.6%)
  rpi3_7: 148 invocations (0.2%)
  rockpi_43: 716 invocations (1.1%)
  nano_26: 386 invocations (0.6%)
  nano_1: 371 invocations (0.6%)
  rpi3_8: 146 invocations (0.2%)
  nano_21: 360 invocations (0.5%)
  nx_18: 302 invocations (0.4%)
  rockpi_26: 649 invocations (1.0%)
  nano_25: 348 invocations (0.5%)
  rpi3_3: 142 invocations (0.2%)
  nx_7: 358 invocations (0.5%)
  nano_2: 338 invocations (0.5%)
  rockpi_5: 613 invocations (0.9%)
  nano_4: 329 invocations (0.5%)
  rpi3_4: 139 invocations (0.2%)
  rpi3_5: 113 invocations (0.2%)
  rpi3_41: 328 invocations (0.5%)
  rockpi_73: 587 invocations (0.9%)
  nano_6: 316 invocations (0.5%)
  rpi3_39: 134 invocations (0.2%)
  rockpi_48: 574 invocations (0.9%)
  nx_26: 110 invocations (0.2%)
  nano_19: 308 invocations (0.5%)
  nano_39: 306 invocations (0.5%)
  rockpi_6: 605 invocations (0.9%)
  rpi3_40: 132 invocations (0.2%)
  nano_8: 18 invocations (0.0%)
  rockpi_33: 586 invocations (0.9%)
  rpi3_63: 127 invocations (0.2%)
  nx_5: 13 invocations (0.0%)
  rockpi_74: 379 invocations (0.6%)
  nano_20: 6 invocations (0.0%)
