FAAS SIMULATION SUMMARY
======================

Report generated: 2025-08-19 04:30:19

Topology Overview:
  Number of nodes: 215
  Number of functions: 6
  Number of images: 8

Node Distribution:
  nx_14: 1757 invocations (2.6%)
  rockpi_13: 2024 invocations (3.0%)
  rockpi_59: 672 invocations (1.0%)
  coral_11: 1476 invocations (2.2%)
  nano_24: 1265 invocations (1.9%)
  rpi3_50: 1206 invocations (1.8%)
  nx_6: 1312 invocations (1.9%)
  rockpi_66: 1518 invocations (2.3%)
  nx_9: 1719 invocations (2.5%)
  rockpi_9: 1409 invocations (2.1%)
  nano_13: 965 invocations (1.4%)
  rpi3_48: 173 invocations (0.3%)
  rockpi_15: 1316 invocations (2.0%)
  rpi3_49: 140 invocations (0.2%)
  nx_4: 1005 invocations (1.5%)
  rockpi_75: 1235 invocations (1.8%)
  nx_17: 945 invocations (1.4%)
  rpi3_30: 173 invocations (0.3%)
  nx_22: 974 invocations (1.4%)
  nx_13: 1178 invocations (1.7%)
  rockpi_17: 1094 invocations (1.6%)
  nx_25: 1115 invocations (1.7%)
  rpi3_31: 166 invocations (0.2%)
  rockpi_12: 1032 invocations (1.5%)
  nano_32: 707 invocations (1.0%)
  rockpi_10: 972 invocations (1.4%)
  nx_8: 1007 invocations (1.5%)
  rockpi_0: 919 invocations (1.4%)
  rpi3_32: 166 invocations (0.2%)
  nano_27: 633 invocations (0.9%)
  rockpi_44: 868 invocations (1.3%)
  nano_0: 599 invocations (0.9%)
  rpi3_12: 160 invocations (0.2%)
  nx_2: 633 invocations (0.9%)
  rockpi_60: 779 invocations (1.2%)
  nano_29: 535 invocations (0.8%)
  rpi3_13: 159 invocations (0.2%)
  rockpi_64: 735 invocations (1.1%)
  nano_34: 511 invocations (0.8%)
  nx_29: 148 invocations (0.2%)
  rockpi_11: 696 invocations (1.0%)
  nano_42: 486 invocations (0.7%)
  rpi3_14: 156 invocations (0.2%)
  rockpi_68: 660 invocations (1.0%)
  nano_31: 459 invocations (0.7%)
  rockpi_51: 626 invocations (0.9%)
  nx_24: 474 invocations (0.7%)
  rpi3_6: 153 invocations (0.2%)
  nx_0: 499 invocations (0.7%)
  nano_9: 416 invocations (0.6%)
  coral_1: 462 invocations (0.7%)
  nano_15: 397 invocations (0.6%)
  rpi3_7: 151 invocations (0.2%)
  nx_12: 450 invocations (0.7%)
  coral_0: 108 invocations (0.2%)
  nano_10: 379 invocations (0.6%)
  rockpi_2: 512 invocations (0.8%)
  nano_33: 363 invocations (0.5%)
  rpi3_8: 146 invocations (0.2%)
  rockpi_43: 491 invocations (0.7%)
  nano_26: 350 invocations (0.5%)
  nano_1: 335 invocations (0.5%)
  rpi3_3: 146 invocations (0.2%)
  nano_21: 323 invocations (0.5%)
  nx_18: 96 invocations (0.1%)
  rockpi_26: 434 invocations (0.6%)
  nano_25: 309 invocations (0.5%)
  rpi3_4: 142 invocations (0.2%)
  nano_2: 300 invocations (0.4%)
  nx_7: 91 invocations (0.1%)
  rockpi_5: 404 invocations (0.6%)
  nano_4: 291 invocations (0.4%)
  rpi3_5: 137 invocations (0.2%)
  nx_26: 323 invocations (0.5%)
  nano_6: 281 invocations (0.4%)
  rockpi_73: 577 invocations (0.9%)
  rpi3_39: 137 invocations (0.2%)
  rockpi_48: 372 invocations (0.6%)
  nano_19: 271 invocations (0.4%)
  nano_39: 270 invocations (0.4%)
  rockpi_6: 560 invocations (0.8%)
  rpi3_41: 76 invocations (0.1%)
  rpi3_40: 133 invocations (0.2%)
  nano_8: 262 invocations (0.4%)
  rockpi_33: 552 invocations (0.8%)
  rockpi_74: 544 invocations (0.8%)
  rpi3_63: 128 invocations (0.2%)
  rockpi_16: 536 invocations (0.8%)
  nx_5: 254 invocations (0.4%)
